0,1,2
Value,Definition,TOT
C,Inconclusive,"BDEC, LSR"
D,Deferred for manual processing,SRE (FDSP)
G,Green - No Hit,RPISR
I,Identification,"BDEC, LSR, SRE (IIDS), SRE"
M,Match of Images Submitted,SRE (FVR)
N,Non-Identification,"BDEC, LSR, SRE (IIDS), SRE"
P,Pending	Verification	of	Identification,"BDEC, LSR"
R,"Red	-	Hit	on	Potential	Candidate,	High	Confidence	Match","RPISR, UHN"
Y,"Yellow - Probable Candidate, Potential Match","RPISR, UHN, BDEC"
X,Not a Match of Images Submitted,SRE (FVR)
Z,Disposition posted but no biometric search was performed.,SRE (FDSP)
