0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Tag Element,AMN,CAR,CNA,CPDR,CPNU,DEK,DEU,DOCE,EMUF,ERRT,FANC,FAUF,FDSP,FIDR,FNDR,FVR
2.001 LEN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2.002 IDC,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2.003 FFN,,,,,,,,,,,,,,,,
2.005 RET,1,1,1 1,1,1,1,1,1,1,,1,1,,1,1,1
2.006 ATN,0..1,0..1,,0..1,0..1,0..1,0..1,0..1,0..1,0..1,0..1,0..1,0..1,0..1,0..1,0..1
2.007 SCO,0..9,0..9,,0..9,0..9,0..9,0..9,0..9,0..9,0..9,0..9,0..9,0..9,0..9,0..9,0..9
2.009 OCA,0..1,0..1,0..1,0..1,0..1,0..1,0..1,0..1,0..1,0..1,0..1,0..1,0..1,1,0..1,0..1
2.012 LCN,,,,,,,,,,,,,,,,
2.013 LCX,,,,,,,,,,,,,,,,
2.014 FBI,,0..5 5,0..5 5,0..5 5,0..5 5,0..5,,0..5,0..5,0..5,0..5,0..5,0..5,0..5,0..5,1
2.015 SID,,0..1 6,0..1 6,0..1 6,0..1 6,0..1,,0..1,0..1,0..1,,,0..1,,,0..1
2.016 SOC,,0..4,0..4,0..4,0..4,0..4,,0..4,0..4,,0..4,0..4,0..4,0..4,0..4,0..4
2.017 MNU,0..4,0..4,0..4,0..4,0..4,0..4,0..4,0..4,0..4,0..4,0..4 3,0..4 3,0..4,0..4,0..4 3,0..4
2.018 NAM,1 4,1,1,1,1,1,1 4,1,1,,1,1,1,1,1,1
2.019 AKA,,0..10,0..10,0..10,0..10,0..10,,0..10,0..10,,0..10,0..10,0..10,0..10,0..10,0..10
2.020 POB,,1,1,1,1,0..1,,1,1,,1,1,1,0..1,1,1
2.021 CTZ,0..10,0..10,0..10,0..10,0..10,0..10,0..10,0..10,0..10,,0..10,0..10,0..10,0..10,0..10,0..10
2.022 DOB,1..5 4,1..5,1..5,1..5,1..5,1..5,1..5 4,1..5,1..5,,1..5,1..5,1..5,0..5,1..5,1..5
2.023 AGR,,,,,,,,,,,,,,,,
2.024 SEX,1,1,1,1,1,1,1,1,1,,1,1,1,0..1,1,0..1
2.025 RAC,1,1,1,1,1,1,0..1,1,1,,1,1,1,0..1,1,0..1
2.026 SMT,0..10,0..10,0..10,0..10,0..10,0..10,0..10,0..10,0..10,,0..10,0..10,0..10,0..10,0..10,0..10
2.027 HGT,1,1,1,1,1,1,1,1,1,,1,1,0..1,0..1,1,0..1
2.028 HTR,,,,,,,,,,,,,,,,
2.029 WGT,1,1,1,1,1,1,1,1,1,,1,1,0..1,0..1,1,0..1
2.030 WTR,,,,,,,,,,,,,,,,
2.031 EYE,1,1,1,1,1,1,1,1,1,,1,1,0..1,0..1,1,0..1
2.032 HAI,1,1,1,1,1,1,1,1,1,,1,1,0..1,0..1,1,0..1
2.033 FPC,,,,,,,,,,,,,,,,
2.034 PAT,,,,,,,,,,,,,,,,
2.035 PPA,,0..1,0..1,0..1,0..1,,,,,,,,,,,
