0,1,2,3,4,5,6,7,8,9,10,11
Tag Element,IIDS,LFS,LSR,MAP,MPR,NFUE,NFUF,NNDR,RPIS,RPISR,SRE
2.035 PPA,,,0..1,,,,,,,,
2.036 PHT,,,,,0..1,,,,,,
2.037 RFP,,,,1,,1,1,1,,,
2.038 DPR,,,0..1,1,1,1,1,1,,,
2.039 EAD,,,,0..1,0..1,0..1,0..1,0..1,,,0..1
2.040 OCP,,,,0..1,0..1,0..1,0..1,0..1,,,0..1
2.041 RES,,,,0..1,0..1,0..1,0..1,0..1,,,0..1
2.042 MIL,,,,,,,,0..1,,,
2.043 TSR,,,,,,0..1,0..1,1,,,
2.044 GEO,,0..5,,,,,,,,,
2.045 DOA,,,,,,,,,,,
2.046 DOS,,,,,,,,,,,
2.047 ASL,,0..999 3,,,,,,,,,
2.051 CSL,,,,,,,,,,,
2.053 OFC,,1,,,,,,,,,
2.054 SSD,,,,,,,,,,,
2.055 SLE,,,,,,,,,,,
2.056 ICO,,,,,0..1,,,,,,
2.059 SRF,,,1,,,,,,,1,1
2.060 MSG,,,0..1,,,,,,,0..1,0..11
2.061 CST,,1,1,,,,,,,,
2.067 IMA,,0..1,,0..1,0..1,0..1,0..1,0..1,0..1,0..1,
2.070 RAP,0..1,0..1,,0..1,0..1,0..1,0..1,0..1,0..1,,
2.071 ACN,,,0..1,,0..1,,,,,0..1,
2.073 CRI,0..3,0..3,0..3,1..3,1..3,1..3,1..3,1..3,1..3,0..3,1..3
2.074 FGP,,0..10,0..10,,,,,,,,
2.075 ERS,,,0..1,,,,,,,0..1,0..1
2.083 ULF,,0..1,,,,,,,,,
2.084 AMP,,,,0..13 7,0..13 7,0..13 7,0..13 7,0..13 7,0..13 7,,
2.087 TAA,,,,,,,,,,,0..1
